exp,pred,status,submission,cv_n,cv_best_score_mean,cv_best_score_std,cv_binary_macro_f1_mean,cv_binary_macro_f1_std,cv_binary_kappa_mean,cv_binary_kappa_std,cv_ternary_macro_f1_mean,cv_ternary_macro_f1_std,cv_ternary_kappa_mean,cv_ternary_kappa_std,cv_phq_ccc_mean,cv_phq_ccc_std,cv_phq_rmse_mean,cv_phq_rmse_std,cv_phq_mae_mean,cv_phq_mae_std,cv_cls_score_mean,cv_cls_score_std,binary_counts,ternary_counts,inconsistent_n,inconsistent_ids,severe_ids,phq_min,phq_max,phq_mean,p_prior_binary_counts,p_prior_ternary_counts,p_binary_conflicts,p_ternary_gap_sum,p_strong_suspicious_n,p_strong_suspicious_ids,changed_binary_n_vs_v9best,changed_binary_ids_vs_v9best,changed_ternary_n_vs_v9best,changed_ternary_ids_vs_v9best
v11_allA_cross_fullVG_5x3,predictions_cls_top6_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_cross_fullVG_5x3/predictions_cls_top6_normal/submission.zip,15,0.49860064343437077,0.15083279814232028,0.7296479772950359,0.1583108276614106,0.4760579651210683,0.3042845680698208,0.5601160630830394,0.1437152635420557,0.39638469298545476,0.20463590560143172,0.11524954313147737,0.15522532545031542,5.583042283518384,2.169195390031572,4.1276411803574184,1.5914787062693254,0.5614177437347273,0.16805492106732395,"{0: np.int64(8), 1: np.int64(15)}","{0: np.int64(9), 1: np.int64(8), 2: np.int64(6)}",1,26,"13,45,69,91,92,117",2.032428979873657,8.980928421020508,5.211931332297947,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",6,12,1,69,4,"6,26,69,97",7,"6,13,18,69,92,97,117"
v11_allA_cross_fullVG_5x3,predictions_cls_top8_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_cross_fullVG_5x3/predictions_cls_top8_normal/submission.zip,15,0.49860064343437077,0.15083279814232028,0.7296479772950359,0.1583108276614106,0.4760579651210683,0.3042845680698208,0.5601160630830394,0.1437152635420557,0.39638469298545476,0.20463590560143172,0.11524954313147737,0.15522532545031542,5.583042283518384,2.169195390031572,4.1276411803574184,1.5914787062693254,0.5614177437347273,0.16805492106732395,"{0: np.int64(8), 1: np.int64(15)}","{0: np.int64(10), 1: np.int64(8), 2: np.int64(5)}",2,"13,26","45,69,91,92,117",1.864464282989502,7.03748083114624,4.271693955297056,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",6,12,1,69,4,"6,26,69,97",7,"6,13,18,69,92,97,117"
v11_allA_cross_fullVG_5x3,predictions_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_cross_fullVG_5x3/predictions_normal/submission.zip,15,0.49860064343437077,0.15083279814232028,0.7296479772950359,0.1583108276614106,0.4760579651210683,0.3042845680698208,0.5601160630830394,0.1437152635420557,0.39638469298545476,0.20463590560143172,0.11524954313147737,0.15522532545031542,5.583042283518384,2.169195390031572,4.1276411803574184,1.5914787062693254,0.5614177437347273,0.16805492106732395,"{0: np.int64(9), 1: np.int64(14)}","{0: np.int64(14), 1: np.int64(6), 2: np.int64(3)}",5,"6,13,18,92,97","45,69,91",1.345306158065796,7.566669940948486,4.317768350891445,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",7,12,2,"26,69",3,"6,69,97",4,"13,18,69,92"
v11_allA_cross_fullVG_5x3,predictions_top8_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_cross_fullVG_5x3/predictions_top8_normal/submission.zip,15,0.49860064343437077,0.15083279814232028,0.7296479772950359,0.1583108276614106,0.4760579651210683,0.3042845680698208,0.5601160630830394,0.1437152635420557,0.39638469298545476,0.20463590560143172,0.11524954313147737,0.15522532545031542,5.583042283518384,2.169195390031572,4.1276411803574184,1.5914787062693254,0.5614177437347273,0.16805492106732395,"{0: np.int64(9), 1: np.int64(14)}","{0: np.int64(10), 1: np.int64(9), 2: np.int64(4)}",1,92,"45,69,91,117",1.9155819416046145,7.34539270401001,4.736752095429794,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",7,13,2,"26,69",3,"6,69,97",6,"6,18,69,92,97,117"
v11_allA_cross_noVBeh_5x3,predictions_cls_top6_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_cross_noVBeh_5x3/predictions_cls_top6_normal/submission.zip,15,0.4892790671622929,0.1517972312029649,0.7133404487847661,0.14183819980541085,0.4614422637439243,0.2351349138016701,0.5692277414516836,0.17363277285905537,0.404873285918353,0.2120501098441034,0.0681886672083643,0.1545045856499203,4.825886931461529,0.9940536781652034,3.5556969397045948,0.8168492294603928,0.5580335670033904,0.17628643899434426,"{0: np.int64(8), 1: np.int64(15)}","{0: np.int64(10), 1: np.int64(10), 2: np.int64(3)}",2,"18,92","45,69,91",2.678636312484741,5.651126384735107,4.212825536727905,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",8,12,2,"26,69",4,"6,69,70,97",6,"6,18,69,70,92,97"
v11_allA_cross_noVBeh_5x3,predictions_cls_top8_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_cross_noVBeh_5x3/predictions_cls_top8_normal/submission.zip,15,0.4892790671622929,0.1517972312029649,0.7133404487847661,0.14183819980541085,0.4614422637439243,0.2351349138016701,0.5692277414516836,0.17363277285905537,0.404873285918353,0.2120501098441034,0.0681886672083643,0.1545045856499203,4.825886931461529,0.9940536781652034,3.5556969397045948,0.8168492294603928,0.5580335670033904,0.17628643899434426,"{0: np.int64(9), 1: np.int64(14)}","{0: np.int64(9), 1: np.int64(10), 2: np.int64(4)}",2,"92,97","13,45,69,91",2.3685922622680664,9.12779712677002,5.609508970509404,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",9,14,2,"26,69",3,"6,69,70",7,"6,13,18,69,70,92,97"
v11_allA_cross_noVBeh_5x3,predictions_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_cross_noVBeh_5x3/predictions_normal/submission.zip,15,0.4892790671622929,0.1517972312029649,0.7133404487847661,0.14183819980541085,0.4614422637439243,0.2351349138016701,0.5692277414516836,0.17363277285905537,0.404873285918353,0.2120501098441034,0.0681886672083643,0.1545045856499203,4.825886931461529,0.9940536781652034,3.5556969397045948,0.8168492294603928,0.5580335670033904,0.17628643899434426,"{0: np.int64(7), 1: np.int64(16)}","{0: np.int64(10), 1: np.int64(9), 2: np.int64(4)}",3,"26,70,92","13,18,69,91",1.95485258102417,5.90447998046875,3.907269799191019,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",7,13,2,"18,69",5,"6,26,69,70,97",6,"6,13,45,69,92,97"
v11_allA_cross_noVBeh_5x3,predictions_top8_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_cross_noVBeh_5x3/predictions_top8_normal/submission.zip,15,0.4892790671622929,0.1517972312029649,0.7133404487847661,0.14183819980541085,0.4614422637439243,0.2351349138016701,0.5692277414516836,0.17363277285905537,0.404873285918353,0.2120501098441034,0.0681886672083643,0.1545045856499203,4.825886931461529,0.9940536781652034,3.5556969397045948,0.8168492294603928,0.5580335670033904,0.17628643899434426,"{0: np.int64(9), 1: np.int64(14)}","{0: np.int64(9), 1: np.int64(10), 2: np.int64(4)}",2,"92,97","13,45,69,91",2.3685922622680664,9.12779712677002,5.60950896014338,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",9,14,2,"26,69",3,"6,69,70",7,"6,13,18,69,70,92,97"
v11_allA_no_cross_fullVG_5x3,predictions_cls_top6_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/predictions_cls_top6_normal/submission.zip,15,0.4955078038218159,0.1752138662235703,0.72221018475898,0.140502789250065,0.4507369110266016,0.27832399607650915,0.5805302380224983,0.1714117991296145,0.4035852343527627,0.24727228688850522,0.08431909612277953,0.19783334716066545,5.048974760546341,2.114156862433788,3.6991308220006807,1.540194412310409,0.5616865559103164,0.18617229251052192,"{0: np.int64(6), 1: np.int64(17)}","{0: np.int64(8), 1: np.int64(9), 2: np.int64(6)}",2,"26,86","13,18,45,69,91,92",2.392956256866455,6.375512599945068,4.3699661337811015,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",8,13,2,"18,69",6,"6,26,35,69,86,97",6,"6,13,35,69,92,97"
v11_allA_no_cross_fullVG_5x3,predictions_cls_top8_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/predictions_cls_top8_normal/submission.zip,15,0.4955078038218159,0.1752138662235703,0.72221018475898,0.140502789250065,0.4507369110266016,0.27832399607650915,0.5805302380224983,0.1714117991296145,0.4035852343527627,0.24727228688850522,0.08431909612277953,0.19783334716066545,5.048974760546341,2.114156862433788,3.6991308220006807,1.540194412310409,0.5616865559103164,0.18617229251052192,"{0: np.int64(7), 1: np.int64(16)}","{0: np.int64(9), 1: np.int64(9), 2: np.int64(5)}",4,"26,35,86,97","18,45,69,91,92",2.0841612815856934,4.998428821563721,3.5266559849614683,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",7,13,2,"18,69",5,"6,26,69,86,97",4,"6,35,69,92"
v11_allA_no_cross_fullVG_5x3,predictions_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/predictions_normal/submission.zip,15,0.4955078038218159,0.1752138662235703,0.72221018475898,0.140502789250065,0.4507369110266016,0.27832399607650915,0.5805302380224983,0.1714117991296145,0.4035852343527627,0.24727228688850522,0.08431909612277953,0.19783334716066545,5.048974760546341,2.114156862433788,3.6991308220006807,1.540194412310409,0.5616865559103164,0.18617229251052192,"{0: np.int64(8), 1: np.int64(15)}","{0: np.int64(10), 1: np.int64(7), 2: np.int64(6)}",2,"26,97","13,18,45,69,91,92",1.9094793796539309,6.4591827392578125,4.335104092307713,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",6,13,2,"18,69",4,"6,26,69,97",4,"6,13,69,92"
v11_allA_no_cross_fullVG_5x3,predictions_single_fold1_seed43,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/predictions_single_fold1_seed43/submission.zip,15,0.4955078038218159,0.1752138662235703,0.72221018475898,0.140502789250065,0.4507369110266016,0.27832399607650915,0.5805302380224983,0.1714117991296145,0.4035852343527627,0.24727228688850522,0.08431909612277953,0.19783334716066545,5.048974760546341,2.114156862433788,3.6991308220006807,1.540194412310409,0.5616865559103164,0.18617229251052192,"{0: np.int64(6), 1: np.int64(17)}","{0: np.int64(6), 1: np.int64(13), 2: np.int64(4)}",0,,"18,24,45,92",0.3279646337032318,10.527423858642578,5.915327630613161,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",10,15,3,"18,24,26",6,"6,35,69,70,86,97",9,"6,24,35,69,70,86,91,92,97"
v11_allA_no_cross_fullVG_5x3,predictions_top8_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_fullVG_5x3/predictions_top8_normal/submission.zip,15,0.4955078038218159,0.1752138662235703,0.72221018475898,0.140502789250065,0.4507369110266016,0.27832399607650915,0.5805302380224983,0.1714117991296145,0.4035852343527627,0.24727228688850522,0.08431909612277953,0.19783334716066545,5.048974760546341,2.114156862433788,3.6991308220006807,1.540194412310409,0.5616865559103164,0.18617229251052192,"{0: np.int64(6), 1: np.int64(17)}","{0: np.int64(10), 1: np.int64(8), 2: np.int64(5)}",4,"26,51,86,97","18,45,69,91,92",2.340294361114502,5.320119857788086,3.8724277745122495,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",8,12,2,"18,69",6,"6,26,51,69,86,97",3,"6,69,92"
v11_allA_no_cross_noVBeh_5x3,predictions_cls_top6_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_noVBeh_5x3/predictions_cls_top6_normal/submission.zip,15,0.5141813556790858,0.1684853100020656,0.7461454481191322,0.16982589322147187,0.4997186183655619,0.33643050754516113,0.6011592961180164,0.1395026077799329,0.43067793669506155,0.20841413986555477,0.0515848103653621,0.1971075577199582,4.93497946769665,1.238667450673947,3.6411633080565466,0.9218811890214389,0.5902707342832694,0.1907626897754106,"{0: np.int64(6), 1: np.int64(17)}","{0: np.int64(7), 1: np.int64(11), 2: np.int64(5)}",1,26,"18,45,69,91,92",2.8478424549102783,5.447901248931885,4.364540680595066,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",8,13,2,"18,69",6,"6,26,69,70,86,97",6,"6,69,70,86,92,97"
v11_allA_no_cross_noVBeh_5x3,predictions_cls_top8_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_noVBeh_5x3/predictions_cls_top8_normal/submission.zip,15,0.5141813556790858,0.1684853100020656,0.7461454481191322,0.16982589322147187,0.4997186183655619,0.33643050754516113,0.6011592961180164,0.1395026077799329,0.43067793669506155,0.20841413986555477,0.0515848103653621,0.1971075577199582,4.93497946769665,1.238667450673947,3.6411633080565466,0.9218811890214389,0.5902707342832694,0.1907626897754106,"{0: np.int64(8), 1: np.int64(15)}","{0: np.int64(8), 1: np.int64(9), 2: np.int64(6)}",0,,"13,18,45,69,91,92",2.2990403175354004,7.523453712463379,4.890146939650826,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",8,13,3,"18,26,69",4,"6,69,70,97",6,"6,13,69,70,92,97"
v11_allA_no_cross_noVBeh_5x3,predictions_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_noVBeh_5x3/predictions_normal/submission.zip,15,0.5141813556790858,0.1684853100020656,0.7461454481191322,0.16982589322147187,0.4997186183655619,0.33643050754516113,0.6011592961180164,0.1395026077799329,0.43067793669506155,0.20841413986555477,0.0515848103653621,0.1971075577199582,4.93497946769665,1.238667450673947,3.6411633080565466,0.9218811890214389,0.5902707342832694,0.1907626897754106,"{0: np.int64(7), 1: np.int64(16)}","{0: np.int64(9), 1: np.int64(10), 2: np.int64(4)}",2,"26,92","13,18,69,91",1.9006751775741575,5.354715347290039,3.9050349930058355,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",7,14,2,"18,69",5,"6,26,69,70,97",7,"6,13,45,69,70,92,97"
v11_allA_no_cross_noVBeh_5x3,predictions_top8_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_allA_no_cross_noVBeh_5x3/predictions_top8_normal/submission.zip,15,0.5141813556790858,0.1684853100020656,0.7461454481191322,0.16982589322147187,0.4997186183655619,0.33643050754516113,0.6011592961180164,0.1395026077799329,0.43067793669506155,0.20841413986555477,0.0515848103653621,0.1971075577199582,4.93497946769665,1.238667450673947,3.6411633080565466,0.9218811890214389,0.5902707342832694,0.1907626897754106,"{0: np.int64(8), 1: np.int64(15)}","{0: np.int64(8), 1: np.int64(9), 2: np.int64(6)}",0,,"13,18,45,69,91,92",2.2990405559539795,7.523453712463379,4.890146918918775,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",8,13,3,"18,26,69",4,"6,69,70,97",6,"6,13,69,70,92,97"
v11_newA_cross_fullVG_5x3,predictions_cls_top6_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_newA_cross_fullVG_5x3/predictions_cls_top6_normal/submission.zip,15,0.44678585302597057,0.16458625643619118,0.7316601326663246,0.1756237576489582,0.49041511693480827,0.30730556629596995,0.4663074123445641,0.17894138802160678,0.281843451538913,0.23793929107680387,0.054265405899746835,0.09493021453396855,5.138007111517728,1.4156258002015416,3.723472177628062,1.1562821181793401,0.5138419771980108,0.19203485828077452,"{0: np.int64(5), 1: np.int64(18)}","{0: np.int64(10), 1: np.int64(7), 2: np.int64(6)}",5,"51,69,70,86,97","18,26,45,91,92,117",2.8868141174316406,5.8219523429870605,4.373464947161467,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",9,9,1,18,7,"6,26,51,69,70,86,97",4,"6,26,92,117"
v11_newA_cross_fullVG_5x3,predictions_cls_top8_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_newA_cross_fullVG_5x3/predictions_cls_top8_normal/submission.zip,15,0.44678585302597057,0.16458625643619118,0.7316601326663246,0.1756237576489582,0.49041511693480827,0.30730556629596995,0.4663074123445641,0.17894138802160678,0.281843451538913,0.23793929107680387,0.054265405899746835,0.09493021453396855,5.138007111517728,1.4156258002015416,3.723472177628062,1.1562821181793401,0.5138419771980108,0.19203485828077452,"{0: np.int64(7), 1: np.int64(16)}","{0: np.int64(13), 1: np.int64(6), 2: np.int64(4)}",6,"18,26,69,83,86,97","45,91,92,117",2.462166786193848,4.551846981048584,3.5357594697371773,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",7,10,0,,5,"6,26,69,86,97",5,"6,18,83,92,117"
v11_newA_cross_fullVG_5x3,predictions_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_newA_cross_fullVG_5x3/predictions_normal/submission.zip,15,0.44678585302597057,0.16458625643619118,0.7316601326663246,0.1756237576489582,0.49041511693480827,0.30730556629596995,0.4663074123445641,0.17894138802160678,0.281843451538913,0.23793929107680387,0.054265405899746835,0.09493021453396855,5.138007111517728,1.4156258002015416,3.723472177628062,1.1562821181793401,0.5138419771980108,0.19203485828077452,"{0: np.int64(7), 1: np.int64(16)}","{0: np.int64(13), 1: np.int64(7), 2: np.int64(3)}",6,"18,69,83,86,92,97","26,45,91",2.229008913040161,5.396793842315674,3.400471189747686,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",7,9,0,,5,"6,26,69,86,97",5,"6,18,26,83,92"
v11_newA_cross_fullVG_5x3,predictions_top8_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_newA_cross_fullVG_5x3/predictions_top8_normal/submission.zip,15,0.44678585302597057,0.16458625643619118,0.7316601326663246,0.1756237576489582,0.49041511693480827,0.30730556629596995,0.4663074123445641,0.17894138802160678,0.281843451538913,0.23793929107680387,0.054265405899746835,0.09493021453396855,5.138007111517728,1.4156258002015416,3.723472177628062,1.1562821181793401,0.5138419771980108,0.19203485828077452,"{0: np.int64(7), 1: np.int64(16)}","{0: np.int64(13), 1: np.int64(6), 2: np.int64(4)}",6,"18,26,69,83,86,97","45,91,92,117",2.462166786193848,4.551846981048584,3.5357594904692276,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",7,10,0,,5,"6,26,69,86,97",5,"6,18,83,92,117"
v11_newA_no_cross_fullVG_5x3,predictions_cls_top6_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_newA_no_cross_fullVG_5x3/predictions_cls_top6_normal/submission.zip,15,0.4427218477104333,0.13609992601332924,0.7089356201248783,0.15265933005366827,0.44242770317345986,0.29610538112935797,0.5061730804455261,0.14100193948156628,0.2789807868584634,0.1988032239905217,0.036164966938449526,0.1500205542644942,5.2375060347737215,2.2416320936800487,3.93284365736536,1.8241625167046376,0.5088143081775061,0.16509707043113508,"{0: np.int64(6), 1: np.int64(17)}","{0: np.int64(6), 1: np.int64(10), 2: np.int64(7)}",2,"51,70","18,26,45,59,69,91,92",3.423505544662476,5.565618991851807,4.703868897064872,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",8,12,3,"18,59,69",6,"6,26,51,69,86,97",8,"6,26,59,69,70,86,92,97"
v11_newA_no_cross_fullVG_5x3,predictions_cls_top8_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_newA_no_cross_fullVG_5x3/predictions_cls_top8_normal/submission.zip,15,0.4427218477104333,0.13609992601332924,0.7089356201248783,0.15265933005366827,0.44242770317345986,0.29610538112935797,0.5061730804455261,0.14100193948156628,0.2789807868584634,0.1988032239905217,0.036164966938449526,0.1500205542644942,5.2375060347737215,2.2416320936800487,3.93284365736536,1.8241625167046376,0.5088143081775061,0.16509707043113508,"{0: np.int64(5), 1: np.int64(18)}","{0: np.int64(7), 1: np.int64(10), 2: np.int64(6)}",2,"51,86","18,26,45,69,91,92",3.308390617370605,8.223527908325195,5.740295047345369,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",9,10,2,"18,69",7,"6,26,51,69,70,86,97",6,"6,26,69,70,92,97"
v11_newA_no_cross_fullVG_5x3,predictions_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_newA_no_cross_fullVG_5x3/predictions_normal/submission.zip,15,0.4427218477104333,0.13609992601332924,0.7089356201248783,0.15265933005366827,0.44242770317345986,0.29610538112935797,0.5061730804455261,0.14100193948156628,0.2789807868584634,0.1988032239905217,0.036164966938449526,0.1500205542644942,5.2375060347737215,2.2416320936800487,3.93284365736536,1.8241625167046376,0.5088143081775061,0.16509707043113508,"{0: np.int64(5), 1: np.int64(18)}","{0: np.int64(8), 1: np.int64(11), 2: np.int64(4)}",3,"51,69,86","26,45,91,92",2.784940481185913,5.973794937133789,4.445573786030645,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",9,7,0,,7,"6,26,51,69,70,86,97",6,"6,18,26,70,92,97"
v11_newA_no_cross_fullVG_5x3,predictions_top8_normal,DONE,/remote-home/yangmz/zhangruibo/mpdd_elder_v3_lite/outputs/elder_v3_lite/v11_newA_no_cross_fullVG_5x3/predictions_top8_normal/submission.zip,15,0.4427218477104333,0.13609992601332924,0.7089356201248783,0.15265933005366827,0.44242770317345986,0.29610538112935797,0.5061730804455261,0.14100193948156628,0.2789807868584634,0.1988032239905217,0.036164966938449526,0.1500205542644942,5.2375060347737215,2.2416320936800487,3.93284365736536,1.8241625167046376,0.5088143081775061,0.16509707043113508,"{0: np.int64(5), 1: np.int64(18)}","{0: np.int64(7), 1: np.int64(10), 2: np.int64(6)}",2,"51,86","18,26,45,69,91,92",3.308390617370605,8.223527908325195,5.740294985149218,"{0: np.int64(12), 1: np.int64(11)}","{0: np.int64(12), 1: np.int64(8), 2: np.int64(3)}",9,10,2,"18,69",7,"6,26,51,69,70,86,97",6,"6,26,69,70,92,97"
